family_id,family_type,character,basis,relationship,source,confidence,review_status
component-20086,component-shared,反,𠂆,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20086,component-shared,盾,𠂆,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20087,component-shared,友,𠂇,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20087,component-shared,右,𠂇,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20087,component-shared,左,𠂇,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20087,component-shared,布,𠂇,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20087,component-shared,有,𠂇,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20087,component-shared,灰,𠂇,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20089,component-shared,乞,𠂉,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20089,component-shared,乾,𠂉,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20089,component-shared,午,𠂉,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20089,component-shared,每,𠂉,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20089,component-shared,飾,𠂉,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20089,component-shared,鹽,𠂉,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-200a2,component-shared,派,𠂢,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-200a2,component-shared,脈,𠂢,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-200a4,component-shared,師,𠂤,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-200a4,component-shared,追,𠂤,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-200cc,component-shared,司,𠃌,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-200cc,component-shared,幻,𠃌,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-200cc,component-shared,成,𠃌,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-201a2,component-shared,介,𠆢,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-201a2,component-shared,企,𠆢,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-201a2,component-shared,傘,𠆢,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-201a2,component-shared,全,𠆢,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-201a2,component-shared,禽,𠆢,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-201a2,component-shared,茶,𠆢,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20627,component-shared,朵,𠘧,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20627,component-shared,船,𠘧,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20627,component-shared,鉛,𠘧,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-2099d,component-shared,乾,𠦝,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-2099d,component-shared,朝,𠦝,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-2099d,component-shared,韓,𠦝,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20ad3,component-shared,棄,𠫓,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20ad3,component-shared,育,𠫓,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20b1d,component-shared,報,𠬝,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20b1d,component-shared,服,𠬝,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20b36,component-shared,侵,𠬶,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-20b36,component-shared,浸,𠬶,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-215d7,component-shared,奉,𡗗,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-215d7,component-shared,奏,𡗗,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-215d7,component-shared,春,𡗗,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-215d7,component-shared,泰,𡗗,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-215d7,component-shared,秦,𡗗,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-21a04,component-shared,塞,𡨄,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-21a04,component-shared,寒,𡨄,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-21a04,component-shared,寨,𡨄,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-21a04,component-shared,賽,𡨄,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-21ffa,component-shared,惱,𡿺,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-21ffa,component-shared,腦,𡿺,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-221b6,component-shared,幽,𢆶,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-221b6,component-shared,幾,𢆶,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-221b6,component-shared,樂,𢆶,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
