character,language,reading,usage,word_example,is_default_for_display,source,source_property,review_status
的,yue-HK,dik1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
的,zh-Hant-TW,de,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
的,zh-Hant-TW,dì,attested-count:157,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
的,zh-Hant-TW,dí,attested-count:84,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
一,yue-HK,jat1,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
一,zh-Hant-TW,yī,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
是,yue-HK,si6,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
是,zh-Hant-TW,shì,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
是,zh-Hant-TW,shi,attested-count:1032,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
是,zh-Hant-TW,tí,,,false,unicode-unihan-17@17.0.0:kHanyuPinyin,kHanyuPinyin,source-attested-unreviewed
了,yue-HK,liu5,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
了,zh-Hant-TW,le,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
了,zh-Hant-TW,liǎo,attested-count:654,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
了,zh-Hant-TW,liào,attested-count:19,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
個,yue-HK,go3,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
個,zh-Hant-TW,gè,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
個,zh-Hant-TW,ge,attested-count:1891,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
個,zh-Hant-TW,gě,attested-count:18,,false,unicode-unihan-17@17.0.0:kHanyuPinlu,kHanyuPinlu,source-attested-unreviewed
小,yue-HK,siu2,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
小,zh-Hant-TW,xiǎo,,,false,unicode-unihan-17@17.0.0:kMandarin,kMandarin,source-attested-unreviewed
有,yue-HK,jau5,,,false,unicode-unihan-17@17.0.0:kCantonese,kCantonese,source-attested-unreviewed
