character,unicode,unicode_hex,edb_presence,edb_version,edb_grade_level,moe_frequency_rank,moe_frequency_score,moe_frequency_band,hk_frequency_rank,foxchild_selection_rank,foxchild_selection_score,foxchild_selection_method,frequency_bucket,foxchild_frequency_tier,foxchild_frequency_tier_method,usage_level,literacy_level,curriculum_stage,curriculum_priority,cangjie,quick,root_count,code_length,first_root,last_root,cangjie_difficulty,cangjie_difficulty_method,simple_code_candidate,simple_code_candidate_method,radical,total_strokes,structure,left_right,top_bottom,surround,single,visual_complexity,visual_complexity_method,visual_complexity_confidence,unihan_definition,learner_definition_en,learner_definition_status,suggested_category,category_method,category_confidence,category_review_status,example_word,example_phrase,example_sentence,code_uniqueness,code_uniqueness_method,cangjie_first_root_group,source_frequency,source_cangjie,source_unihan,source_edb,source_opencc,last_verified,dataset_version
的,U+7684,7684,true,2007 (online edition accessed 2026-07-28),,1,0.0377869727,top-100,,1,1,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,X,X,1,1,X,X,1,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,106,8,unknown,,,,,2,total-stroke-count-proxy-v1,low,"possessive, adjectival suffix",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-X,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
一,U+4E00,4E00,true,2007 (online edition accessed 2026-07-28),,2,0.0204142669,top-100,,2,0.9997914494,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,M,M,1,1,M,M,1,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,1,1,unknown,,,,,1,total-stroke-count-proxy-v1,low,"one; a, an; alone",,unreviewed,numbers,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-M,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
是,U+662F,662F,true,2007 (online edition accessed 2026-07-28),,3,0.0127794957,top-100,,3,0.9995828989,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,AMYO,AO,4,4,A,O,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,72,9,unknown,,,,,2,total-stroke-count-proxy-v1,low,"indeed, yes, right; to be; demonstrative pronoun, this, that",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-A,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
了,U+4E86,4E86,true,2007 (online edition accessed 2026-07-28),,4,0.011242938,top-100,,4,0.9993743483,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,NN,NN,2,2,N,N,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,6,2,unknown,,,,,1,total-stroke-count-proxy-v1,low,to finish; particle of completed action,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-N,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
個,U+500B,500B,true,2007 (online edition accessed 2026-07-28),,5,0.0102674982,top-100,,5,0.9991657977,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,OWJR,OR,4,4,O,R,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,9,10,unknown,,,,,2,total-stroke-count-proxy-v1,low,"numerary adjunct, piece; single",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-O,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
小,U+5C0F,5C0F,true,2007 (online edition accessed 2026-07-28),,6,0.0089367295,top-100,,6,0.9989572471,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,NC,NC,2,2,N,C,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,42,3,unknown,,,,,1,total-stroke-count-proxy-v1,low,"small, tiny, insignificant",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-N,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
有,U+6709,6709,true,2007 (online edition accessed 2026-07-28),,7,0.0087666106,top-100,,7,0.9987486966,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,KB,KB,2,2,K,B,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,74,6,unknown,,,,,1,total-stroke-count-proxy-v1,low,"have, own, possess; exist",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-K,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
數,U+6578,6578,true,2007 (online edition accessed 2026-07-28),,8,0.0080628123,top-100,,8,0.998540146,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,LVOK,LK,4,4,L,K,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,66,15,unknown,,,,,3,total-stroke-count-proxy-v1,low,number; several; count; fate,,unreviewed,numbers,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-L,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
在,U+5728,5728,true,2007 (online edition accessed 2026-07-28),,9,0.0077486411,top-100,,9,0.9983315954,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,KLG,KG,3,3,K,G,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,32,6,unknown,,,,,1,total-stroke-count-proxy-v1,low,"be at, in, on; consist in, rest",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-K,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
多,U+591A,591A,true,2007 (online edition accessed 2026-07-28),,10,0.0076594659,top-100,,10,0.9981230448,edb-eligible-then-moe-corpus-order-v1,moe-character-00001-00010,tier-1-moe-top-500,moe-rank-bands-v1,,,,,NINI,NI,4,4,N,I,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,36,6,unknown,,,,,1,total-stroke-count-proxy-v1,low,"much, many; more than, over",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-N,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
我,U+6211,6211,true,2007 (online edition accessed 2026-07-28),,11,0.0073919402,top-100,,11,0.9979144943,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,HQI,HI,3,3,H,I,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,62,7,unknown,,,,,2,total-stroke-count-proxy-v1,low,"our, us, i, me, my, we",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-H,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
上,U+4E0A,4E0A,true,2007 (online edition accessed 2026-07-28),,12,0.0069611553,top-100,,12,0.9977059437,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,YM,YM,2,2,Y,M,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,1,3,unknown,,,,,1,total-stroke-count-proxy-v1,low,"top; superior, highest; go up, send up",,unreviewed,actions,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-Y,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
人,U+4EBA,4EBA,true,2007 (online edition accessed 2026-07-28),,13,0.0069199975,top-100,,13,0.9974973931,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,O,O,1,1,O,O,1,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,9,2,unknown,,,,,1,total-stroke-count-proxy-v1,low,man; people; mankind; someone else,,unreviewed,people,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-O,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
不,U+4E0D,4E0D,true,2007 (online edition accessed 2026-07-28),,14,0.0069199975,top-100,,14,0.9972888425,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,MF,MF,2,2,M,F,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,1,4,unknown,,,,,1,total-stroke-count-proxy-v1,low,"no, not; un-; negative prefix",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-M,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
來,U+4F86,4F86,true,2007 (online edition accessed 2026-07-28),,15,0.0062340342,top-100,,15,0.997080292,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,DOO,DO,3,3,D,O,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,9,8,unknown,,,,,2,total-stroke-count-proxy-v1,low,"come, coming; return, returning",,unreviewed,actions,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-D,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
少,U+5C11,5C11,true,2007 (online edition accessed 2026-07-28),,16,0.0060927258,top-100,,16,0.9968717414,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,FH,FH,2,2,F,H,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,42,4,unknown,,,,,1,total-stroke-count-proxy-v1,low,"few, less, inadequate",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-F,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
這,U+9019,9019,true,2007 (online edition accessed 2026-07-28),,17,0.0060817504,top-100,,17,0.9966631908,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,YYMR,YR,4,4,Y,R,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,162,10,unknown,,,,,2,total-stroke-count-proxy-v1,low,"this, the, here",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-Y,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
下,U+4E0B,4E0B,true,2007 (online edition accessed 2026-07-28),,18,0.0060776346,top-100,,18,0.9964546403,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,MY,MY,2,2,M,Y,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,1,3,unknown,,,,,1,total-stroke-count-proxy-v1,low,"under, underneath, below; down; inferior; bring down",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-M,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
米,U+7C73,7C73,true,2007 (online edition accessed 2026-07-28),,19,0.0055700218,top-100,,19,0.9962460897,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,FD,FD,2,2,F,D,2,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,119,6,unknown,,,,,1,total-stroke-count-proxy-v1,low,hulled or husked uncooked rice,,unreviewed,food,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-F,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
地,U+5730,5730,true,2007 (online edition accessed 2026-07-28),,20,0.0055165166,top-100,,20,0.9960375391,edb-eligible-then-moe-corpus-order-v1,moe-character-00011-00020,tier-1-moe-top-500,moe-rank-bands-v1,,,,,GPD,GD,3,3,G,D,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,32,6,unknown,,,,,1,total-stroke-count-proxy-v1,low,"earth; soil, ground; region",,unreviewed,nature,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-G,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
面,U+9762,9762,true,2007 (online edition accessed 2026-07-28),,21,0.0054849623,top-100,,21,0.9958289885,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,MWSL,ML,4,4,M,L,4,preferred-code-length-v1,false,preferred-code-length-at-most-3-v1,176,9,unknown,,,,,2,total-stroke-count-proxy-v1,low,"face; surface; plane; side, dimension; Kangxi radical 176",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-M,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
大,U+5927,5927,true,2007 (online edition accessed 2026-07-28),,22,0.0052709418,top-100,,22,0.995620438,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,K,K,1,1,K,K,1,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,37,3,unknown,,,,,1,total-stroke-count-proxy-v1,low,"big, great, vast, large, high",,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-K,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
分,U+5206,5206,true,2007 (online edition accessed 2026-07-28),,23,0.0052640821,top-100,,23,0.9954118874,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,CSH,CH,3,3,C,H,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,18,4,unknown,,,,,1,total-stroke-count-proxy-v1,low,divide; small unit of time etc.,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-C,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
們,U+5011,5011,true,2007 (online edition accessed 2026-07-28),,24,0.0051968577,top-100,,24,0.9952033368,edb-eligible-then-moe-corpus-order-v1,moe-character-00021-00030,tier-1-moe-top-500,moe-rank-bands-v1,,,,,OAN,ON,3,3,O,N,3,preferred-code-length-v1,true,preferred-code-length-at-most-3-v1,9,10,unknown,,,,,2,total-stroke-count-proxy-v1,low,adjunct pronoun indicate plural,,unreviewed,general,unihan-definition-keyword-proposal-v1,low,pending,,,,1,inverse-selected-preferred-code-collision-count-v1,cangjie-O,tw-moe-character-frequency-mainland,rime-cangjie5@52d90a1b1312e74042b38c1cbc8142defbc53171,unicode-unihan-17@17.0.0,hk-edb-primary-lexical-list@2007 (online edition accessed 2026-07-28),opencc-st-characters@2904aa4dd06df17c538fbeae9f1efa14e25bb4a5,2026-07-29,1.1.0
