component_id,source_token,unicode_character,display_glyph,svg_fallback,plain_name_zh_hk,plain_name_en,render_status,name_review_status,source,source_commit,license
component-CDP-88A5,&CDP-88A5;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-88A6,&CDP-88A6;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-88C8,&CDP-88C8;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-88D2,&CDP-88D2;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-88D6,&CDP-88D6;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-88F1,&CDP-88F1;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-8958,&CDP-8958;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-895F,&CDP-895F;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-8974,&CDP-8974;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-89AB,&CDP-89AB;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-89C6,&CDP-89C6;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-89D5,&CDP-89D5;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-89DF,&CDP-89DF;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-89E5,&CDP-89E5;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-89EB,&CDP-89EB;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-89EC,&CDP-89EC;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-89EF,&CDP-89EF;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
component-CDP-89F3,&CDP-89F3;,,,,,,missing-svg-fallback,unreviewed,chise-ids-ucs-basic,352e13378e411c322cfa16bfd7a6d21d670d7eca,GPL-2.0-or-later
