character,foxchild_selection_rank,moe_frequency_rank,hk_frequency_rank,edb_presence,edb_source_glyph,unihan_definition,suggested_category,cangjie,quick,reading_count,decomposition_status,top_level_operator,register_review_status,review_tasks,review_priority_band
的,1,1,,true,的,"possessive, adjectival suffix",general,X,X,4,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
一,2,2,,true,一,"one; a, an; alone",numbers,M,M,2,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
是,3,3,,true,是,"indeed, yes, right; to be; demonstrative pronoun, this, that",general,AMYO,AO,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
了,4,4,,true,了,to finish; particle of completed action,general,NN,NN,4,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
個,5,5,,true,個,"numerary adjunct, piece; single",general,OWJR,OR,4,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
小,6,6,,true,小,"small, tiny, insignificant",general,NC,NC,2,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
有,7,7,,true,有,"have, own, possess; exist",general,KB,KB,5,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
數,8,8,,true,數,number; several; count; fate,numbers,LVOK,LK,7,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
在,9,9,,true,在,"be at, in, on; consist in, rest",general,KLG,KG,2,source-attested-unreviewed,⿸,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
多,10,10,,true,多,"much, many; more than, over",general,NINI,NI,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
我,11,11,,true,我,"our, us, i, me, my, we",general,HQI,HI,2,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
上,12,12,,true,上,"top; superior, highest; go up, send up",actions,YM,YM,5,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
人,13,13,,true,人,man; people; mankind; someone else,people,O,O,3,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
不,14,14,,true,不,"no, not; un-; negative prefix",general,MF,MF,6,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
來,15,15,,true,來,"come, coming; return, returning",actions,DOO,DO,3,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
少,16,16,,true,少,"few, less, inadequate",general,FH,FH,5,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,top-100
